Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
Sun,8.022871382,0.331411862,37.92564057,3.318830188,47.04549376,3.179578462,0.176173779,0
BD+062932,7.935392069,0.10108203,36.83314737,2.536827505,47.84360948,4.361897463,0.388044085,0
BD+063077,,,,,,,,
BD+083095,,,,,,,,
BD-002387,5.967067137,0.52987791,28.0375906,4.109536075,56.79705219,4.14168735,0.417188736,0
BD-010184,8.002354965,0.365007894,36.97150523,5.307857316,45.3369436,3.608309271,0.408021721,0
BD-012505,7.83522411,0.423541645,35.43733012,4.192886453,47.53856856,4.110528048,0.461921065,0
BD-033746,9.566275053,0.47765013,42.52798199,5.196690862,34.13971423,7.363959595,0.727728143,0
BD-034797,8.126069924,0.561305732,37.64994555,4.941018269,45.01419195,3.282471576,0.424997004,0
BD-044138,8.218101303,0.535766687,37.19979799,5.076830789,44.16982593,4.415472692,0.384204611,0
BD-050484,,,,,,,,
BD-050578,7.863772997,0.349010193,37.10248397,3.307159138,47.97202952,3.074960971,0.330583213,0
BD-053176,8.212175483,0.529167912,37.68411987,4.934128819,44.74489392,3.456169219,0.439344776,0
BD-053596,8.498734659,0.368423943,36.63639399,5.622957849,42.70687826,5.69310695,0.473504351,0
BD-054065,8.143108725,0.259610902,39.70889494,2.678797645,45.86410335,3.03615838,0.309326061,0
BD-060904,8.185777492,0.288368075,39.85768339,3.065943591,44.98804896,3.257981955,0.356196532,0
BD-063481,7.708242195,0.375302174,36.80831659,3.169553325,48.4764783,3.14327644,0.318830976,0
BD-064196,7.356269175,0.27096148,34.15642682,2.828293914,51.41117597,3.638388358,0.338484274,0
BD-064756,8.075846303,0.341878535,36.51209132,3.086660159,46.8836932,4.654503174,0.445327305,0
BD-082534,,,,,,,,
BD-082823,7.215294053,0.398539965,32.88794622,3.56524074,51.478023,4.115981129,0.338974896,0
BD-090872,7.864627417,0.327907725,35.26277802,2.681443377,48.07304476,5.354921944,0.435276762,0
BD-091261,9.19757739,0.394322588,40.9653369,5.314576198,37.84440113,5.752453976,0.531331812,0
BD-092670,8.099765027,0.328576699,37.25646433,3.120712388,46.85832323,3.914157159,0.422001173,0
BD-094191,7.962953426,0.348633452,35.96946115,3.630663833,46.82944792,4.868224004,0.390616218,0
BD-112763,8.414979432,0.220833712,40.33018806,2.955849748,44.58772903,3.162764598,0.32765542,0
BD-120327,,,,,,,,
BD-123458,,,,,,,,
BD-130116,7.866738883,0.569319338,32.57772935,6.76040817,44.61757034,7.101620041,0.506613877,0
BD-130321,7.587557252,0.504517354,34.39069752,4.892074831,48.53176551,3.654917734,0.438469793,0
