Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
Sun,10000,1128,1.92847,52.10703783,1.297126116,13.32771365,0,23.9055925,0.170296864,6.301999891,2.890233137,100
BD+062932,10000,1128,3.110244,51.9715565,2.852589156,14.68561285,0,19.68141635,0.201400596,8.803737546,1.803686995,100
BD+063077,,,,,,,,,,,,
BD+083095,,,,,,,,,,,,
BD-002387,10000,1128,9.087361,59.79747072,3.362836945,16.0998839,0,11.94050327,0.904686674,5.519751827,2.374866662,100
BD-010184,10000,1128,4.805613,55.68028783,3.514889117,14.79691067,0,16.72836742,0.596315232,6.32498214,2.358247592,100
BD-012505,10000,1128,3.07658,55.52528737,3.153679337,14.6218863,0,17.40932876,0.530906733,6.352610509,2.406300989,100
BD-033746,10000,1128,5.494756,38.3082906,0.165089676,14.02970461,0,16.86229744,0.580166948,22.50544157,7.549009167,100
BD-034797,10000,1128,3.299186,55.90990539,3.153996657,14.77956972,0,17.13790348,0.557734887,6.002412412,2.45847745,100
BD-044138,10000,1128,2.416143,55.12534951,2.43032814,14.29315497,0,19.05058058,0.40444503,6.12575255,2.570389216,100
BD-050484,,,,,,,,,,,,
BD-050578,10000,1128,2.300094,54.28355622,2.157040441,14.0488618,0,20.18176244,0.333630591,6.429672772,2.565475738,100
BD-053176,10000,1128,3.132799,55.78571886,3.139011268,14.71564063,0,17.25470376,0.546246297,6.112871676,2.445807506,100
BD-053596,10000,1128,1.967516,52.90193865,1.626963506,13.8105655,0,22.30736545,0.233146945,6.47355402,2.646465924,100
BD-054065,10000,1128,1.449462,51.89657623,1.33084522,13.68968782,0,23.69771939,0.18295367,6.495083792,2.707133886,100
BD-060904,10000,1128,1.830064,53.22823696,1.777109863,13.99721019,0,21.65114506,0.264330671,6.515113254,2.566853996,100
BD-063481,10000,1128,2.168451,54.28919943,2.09840008,13.91030809,0,20.38165279,0.318986312,6.376035275,2.625418027,100
BD-064196,10000,1128,3.826421,55.02241077,2.732899801,14.50461053,0,18.42407848,0.453353411,6.445774108,2.416872906,100
BD-064756,10000,1128,1.775438,53.52843043,1.797467869,13.84820306,0,21.53054462,0.265294485,6.379261101,2.650798434,100
BD-082534,,,,,,,,,,,,
BD-082823,10000,1128,3.87984,55.35743719,3.029625792,14.62034338,0,17.69254193,0.509640292,6.395142521,2.395268897,100
BD-090872,10000,1128,1.823457,53.4023203,1.796099738,13.97589482,0,21.5299118,0.268982907,6.432075303,2.594715134,100
BD-091261,10000,1128,3.139362,36.847024,0.208547242,14.63454654,0,22.09332389,0.454751473,15.98988585,9.771921007,100
BD-092670,10000,1128,1.954706,53.74761431,1.93408509,14.00485223,0,20.99703039,0.293192163,6.444689807,2.578536013,100
BD-094191,10000,1128,2.269284,54.07165641,2.153982345,14.2300117,0,20.20532416,0.338912485,6.515687977,2.484424928,100
BD-112763,10000,1128,2.156104,52.95592665,1.710146193,13.99145782,0,21.96002465,0.25131736,6.57516071,2.555966608,100
BD-120327,,,,,,,,,,,,
BD-123458,,,,,,,,,,,,
BD-130116,10000,1128,3.008866,55.54143025,2.888543954,14.55276643,0,17.86194476,0.493237176,6.188045895,2.474031541,100
BD-130321,10000,1128,3.772156,55.98532718,3.716629918,14.94007153,0,16.24303285,0.64691851,6.086848764,2.381171241,100
BD-131161,10000,1128,5.021244,54.1335996,3.914266546,14.48047196,0,18.15456884,0.558528408,6.380485896,2.378078744,100
BD-140184,,,,,,,,,,,,
BD-145003,,,,,,,,,,,,
BD-160308,,,,,,,,,,,,
BD-160931,10000,1128,6.381442,54.70779961,4.354395973,14.70353761,0,16.96033589,0.651448302,6.284925513,2.337557097,100
BD-170063,,,,,,,,,,,,
BD-173242,10000,1128,1.266529,52.50298261,1.355638275,13.20603732,0,23.6083558,0.177014217,6.195298403,2.954673372,100
BD-195953,10000,1128,4.677685,55.78417712,3.786506788,14.87089732,0,16.28973435,0.640959582,6.283976735,2.343748108,100
BD-213153,10000,1128,2.573856,53.20919853,1.863197125,14.0744356,0,21.40071816,0.268759473,6.687699074,2.495992031,100
BD-223528,10000,1128,2.529621,54.54573412,2.331775065,14.20450014,0,19.591858,0.370474675,6.444785035,2.510872972,100
CD-2310879,10000,1128,5.410461,54.16042904,4.29113173,14.62082144,0,17.53009847,0.5908804,6.511007212,2.29563171,100
CD-436810,,,,,,,,,,,,
CD-4512460,10000,1128,3.737844,54.92140579,3.0949926,14.65985719,0,17.80810591,0.468787251,6.758119673,2.288731577,100
CD-452997,,,,,,,,,,,,
CD-571633,10000,1128,7.513053,60.20664103,2.289675464,17.56038745,0,8.746738294,0.614141181,9.58814968,0.994266906,100
HD10002,10000,1128,1.951686,54.3890091,2.184468371,14.04882339,0,20.06718743,0.339522973,6.396917986,2.574070744,100
HD100289,10000,1128,1.519243,53.5118606,1.710335509,13.54736488,0,21.92370821,0.24135784,6.284088132,2.781284822,100
HD100508,10000,1128,2.585932,55.99834676,2.87194954,14.61168719,0,17.62352672,0.510146344,5.822975345,2.561368094,100
HD100777,,,,,,,,,,,,
HD101339,10000,1128,2.224887,54.1090708,2.138285567,14.16730954,0,20.25326261,0.334241115,6.485161971,2.512668403,100
HD101367,10000,1128,1.722593,55.20674068,2.30629604,13.94952659,0,19.431482,0.369427443,6.030233993,2.706293256,100
HD101581,10000,1128,1.71296,53.54137938,1.789236365,13.78540815,0,21.57755527,0.261529637,6.370480284,2.674410908,100
HD101612,10000,1128,2.396242,54.44564524,2.264938521,14.17894543,0,19.79788579,0.358385312,6.431571652,2.52262806,100
HD101644,10000,1128,1.296212,52.87578366,1.504830112,13.44851471,0,22.85838784,0.205293677,6.276642074,2.830547925,100
HD101650,,,,,,,,,,,,
HD10166,,,,,,,,,,,,
HD10180,10000,1128,2.046692,54.47753875,2.175684124,13.93488954,0,20.09792893,0.333904985,6.358579104,2.621474568,100
HD101930,10000,1128,0.974714,52.22599498,1.218857874,12.88098971,0,24.34061144,0.152403092,6.041290752,3.139852157,100
HD102117,10000,1128,2.18828,54.69307024,2.349607016,14.12397452,0,19.51845629,0.371420738,6.392918861,2.550552325,100
HD102136,10000,1128,2.375474,54.05520606,2.06688044,14.03761483,0,20.5090604,0.317074362,6.449535414,2.564628496,100
HD102300,,,,,,,,,,,,
HD102365,,,,,,,,,,,,
HD102438,,,,,,,,,,,,
HD102843,10000,1128,2.734104,54.550325,2.414916787,14.35654245,0,19.34395555,0.390468172,6.494421324,2.449370722,100
HD103197,10000,1128,1.527574,53.70965773,1.770696444,13.57498166,0,21.65144529,0.252866642,6.266489489,2.773862744,100
HD103720,10000,1128,3.714175,55.10862278,2.803244693,14.53542094,0,18.24046472,0.466985267,6.434805882,2.410455716,100
HD103891,,,,,,,,,,,,
HD103949,10000,1128,2.042857,54.4819043,2.239243123,14.08845049,0,19.8795784,0.350680358,6.399893091,2.560250238,100
HD104006,,,,,,,,,,,,
HD104067,10000,1128,1.387699,52.43828019,1.394011598,13.42250068,0,23.40542841,0.186962887,6.311376981,2.84143925,100
HD104263,,,,,,,,,,,,
HD104760A,10000,1128,2.50498,54.65280078,2.361721535,14.1785181,0,19.48729914,0.375256928,6.418101382,2.526302133,100
HD104800,,,,,,,,,,,,
HD104982,10000,1128,2.007703,53.55026812,1.884038448,14.0124952,0,21.21385386,0.283621262,6.490605995,2.565117118,100
HD105004,,,,,,,,,,,,
HD105671,10000,1128,4.067735,55.23517468,2.916976445,14.58347654,0,17.95793332,0.488749698,6.41711122,2.400578096,100
HD105779,10000,1128,2.160685,54.11890424,2.150490272,14.18251781,0,20.21311304,0.336803276,6.492348061,2.505823303,100
HD105837,,,,,,,,,,,,
HD105938,10000,1128,4.493835,55.43419302,3.393303587,14.76390427,0,17.0446493,0.554097797,6.482526869,2.327325151,100
HD106116,10000,1128,1.729515,53.97929258,1.950464117,13.84886704,0,20.9209193,0.291826686,6.355545645,2.653084633,100
HD106275,10000,1128,2.85345,55.14542791,2.804693285,14.5096826,0,18.23089666,0.466399708,6.420583494,2.422316339,100
HD106290,10000,1128,4.542912,55.75983496,3.755034374,14.87428633,0,16.34008613,0.636361488,6.293935731,2.340460987,100
HD10647,10000,1128,3.710955,55.32583615,3.008364996,14.62068842,0,17.74314879,0.50597137,6.402972665,2.393017611,100
HD106589,10000,1128,3.148356,54.78407354,2.560713466,14.42626493,0,18.90335837,0.419517853,6.47240185,2.43366999,100
HD10700,,,,,,,,,,,,
HD107094,,,,,,,,,,,,
HD107148,10000,1128,1.217827,53.71033584,1.637966672,13.18007274,0,22.21420386,0.22225849,6.061407362,2.97375504,100
HD108063,10000,1128,0.361477,47.85890263,0.363195208,11.38059087,0,28.23697292,0.468386497,3.500457052,8.19149482,100
HD108147,10000,1128,4.20361,55.53332778,3.266087355,14.71823362,0,17.1921095,0.553119093,6.363863593,2.373259053,100
HD108309,10000,1128,2.22008,54.45623414,2.227380577,14.06797839,0,19.92846944,0.347330444,6.407808074,2.564798933,100
HD108341,10000,1128,3.511768,55.17344556,2.859791115,14.55954629,0,18.09788586,0.477850989,6.426003456,2.405476725,100
HD108564,,,,,,,,,,,,
