star,initial_mass
HD13808,0
HD181428,100.119392
HD121504,100.118354
HD30278,100.120488
HD203413,100.114243
HD106275,100.115283
HD221356,100.124714
HD208672,100.121048
CD-4512460,100.114806
HD21977,100.115750
HD20492,100.123989
HD211369,100.123654
HD96116,100.120443
HD214094,100.119691
HD160836,100.127330
HD218379,100.117905
HD224230,100.128343
HD13789,100.117842
HD19423,100.122765
HD750,100.119219
HD101367,100.115214
HD149724,100.116904
HD91267,100.122581
HD57568,100.132863
HD18822,100.121586
HD106589,100.119800
HD109723,100.128562
HD15337,100.120576
HD14452,112.881934
HD16141,100.123556
HD203897,100.121619
HD106116,100.119544
HD204287,100.122286
HD23030,100.115820
HD38772,100.122943
HIP9398,117.953023
HD139879,100.365835
HD165131,100.119078
HD212918,100.122181
HD68978A,100.117321
HD119629,100.103415
HD212580,100.123073
HD8985,100.118106
HD73121,100.118653
HD211188,100.122354
HD8535,100.119298
HD127124,100.113877
HD83529,100.123308
HD96423,100.120745
HD90081,100.124153
HD213628,100.118860
HD199933,100.122455
HD85725,100.109582
HD145666,100.121655
HD138799,100.118833
HD137303,100.125732
HD29428,100.113234
BD-223528,100.120612
HD16270,100.111877
HD37990,100.113597
HD202209,100.125653
HD72374,100.119123
HD114613,100.117447
HD90702,100.121665
HD104067,100.121711
HD191847,100.120870
HD67,100.122024
HD69655,100.118530
HD16417,100.121521
HIP5158,100.123587
HD23356,100.117649
HD210573,100.117742
HD147512,100.119867
HD149747,100.122893
HD167359,100.120050
HD72769,100.115451
HD200349,100.101675
HD202871,100.120750
HD2567,100.118118
HD4021,100.116627
HD143638,100.119988
BD-033746,110.066872
HD151772,100.123791
HD95533,100.122109
HIP26542,100.126339
HD61447,100.109353
HD69830,100.119083
HD104760A,100.120586
HD564,100.122089
HD168769,100.120035
HD28254,100.117736
HD25120,100.126788
HD168159,100.111760
BD-002387,100.093888
HD176986,100.099683
HD109423,100.112433
HD138549,100.118472
HD74698,100.121444
HIP105506,100.125377
BD-050578,100.117773
HD149396,100.115710
HIP58348,100.119010
HD39427,100.120451
HD144585,100.122539
HD93745,100.118370
HD75328,100.118381
HD74957,100.123842
HD71479,100.117543
HD65216,100.124041
HD214759,100.121037
HD117207,100.117493
HD147195,100.119479
HD224287,100.118252
HD96290,100.113246
HD47186,100.119853
HD22249,100.123451
HD72659,100.119954
HD199960,100.116390
HD129191,100.117236
BD-091261,103.224522
HD1320,100.121120
HD19641,100.120293
HD122308,100.115567
HD45977,100.114214
HD183658,100.119420
HD151692,100.129392
HD171990,100.118320
HD190647,100.117610
HD38858,100.120249
HD29263,100.119195
HD135625,100.115616
HD28185,100.113377
HD123517,100.116891
HD203771,100.116403
HD68287,100.113916
HD71835,100.120321
HIP21934,100.117785
HD42505,100.132646
HIP102025,100.127765
HD67200,100.093162
HD29985,100.131807
HD106290,100.109083
HD221287,100.116346
HD108147,100.112756
HD119782,100.118999
HD63754,100.116317
HD89965,100.115761
HD212036,100.118572
HD26729,100.116901
HD208272,100.121413
BD-173242,100.132616
HD150474,100.121116
HD190524,100.121596
HD109271,100.122797
HD156098,100.101881
HD63454,100.105691
HD17439,100.121923
HD90133,100.121973
HD30306,100.119180
HD75881,100.117085
HD10180,100.118685
HD290038,100.112206
HD361,100.120970
HD18777,100.101180
HIP22059,100.130501
HD20868,100.125631
HD88084,100.121095
HD166724,100.123126
HD86652,100.118340
HD73524,100.123238
HD147513,100.112346
HD5388,100.108979
HD39091,100.120633
HD44120,100.116628
HD24112,100.113042
HD33811,100.120073
HD218249,100.126025
HD10002,100.117451
HD22049,100.127682
HD156079,100.114316
HD44573,100.120252
HD11683,100.132165
HD161098,100.121788
HD63765,100.123055
HD21209A,100.128441
HD199086,100.100290
HD109368,100.135270
HD14635,100.116285
HD215625,100.115865
HD211317,100.106411
HD125455,100.119375
HD115773,100.118786
HD25912,100.127280
HD29980,100.119765
HD105779,100.119427
HD205536,100.120257
HD108309,100.118632
HD62128,100.118490
HD223171,100.121035
HD9578,100.121019
HD70903,100.118699
HD200633,100.118261
HD125184,100.120165
HD71685,100.117395
HD216435,100.108841
HD38277,100.122011
BD-092670,100.123729
HD206116,100.101773
HD194717,100.126654
HD130989,100.111669
HD62849,100.119246
HD33473A,100.121139
HD208573,100.120836
BD-195953,100.109648
HD148816,100.105544
HD196800,100.120252
HD188091,100.115000
HIP98764,100.132747
HD183870,100.117620
HD108768,100.119226
HD91379,100.119837
HD204385,100.118670
HD192961,100.094947
HD208068,100.117953
HD124364,100.122160
HD6718,100.121375
HD223272,100.122093
HD85390,100.122199
HD29137,100.117676
HIP54597,100.131459
HD59468,100.121107
HD224578,100.123388
HD68607,100.120273
HD457,100.113662
HD221580,100.112840
HD171825,100.115042
HD211415,100.121604
HD41323,100.119672
BD-054065,100.121788
HD140901,100.121011
HD108341,100.111272
HD116963,100.119673
HD58676,100.119410
HD88885,100.124321
HD89454,100.119862
HD88656,100.124720
HD222595,100.120421
HD153950,100.118662
HD38973,100.117324
CD-2310879,100.114827
HIP18918,100.119660
HD4915,100.121407
HD37226,100.118799
HD185283,100.120193
BD-064196,100.112570
HD71334,100.121396
HD170958,100.127241
HD193406,100.126830
HD168871,100.119374
HD135468,100.117540
HD16008,100.123401
HD6735,100.118039
HD197300,100.108185
HD4838,100.130672
HD142709,100.130903
HD96673,100.127691
BD-010184,100.118975
HD201161,100.121730
HD31532,100.121555
HD3964,100.121215
HD212563,100.128824
HD143790,100.106436
HD196050,100.117288
HD119503,100.105806
HD101930,100.123735
HD202389,100.125925
HD141937,100.118891
HD33725,100.119567
HD90156,100.122850
HD140785,100.120006
HD126525,100.119569
HD139536,100.117582
HD155968,100.127254
HD81639,100.123926
HD12617,100.114580
HD29303,100.119661
HD94151,100.120990
HD130322,100.118837
HD102843,100.118993
HD212301,100.110711
HD31560,100.114004
HD112100,100.123867
HD23079,100.120449
HD190613,100.118953
HD44594,100.118445
HD195145,100.118937
HD109409,100.116659
HD181433,100.104482
HD117618,100.119105
HD8406,100.122695
HD14680,100.122040
HD139332,100.126196
HD8828,100.120565
HD178904,100.118977
HD224433,100.124684
HD19994,100.107578
BD-044138,100.125651
HD15906,100.119484
HD13724,100.118583
HIP26013,100.117267
HD215722,100.123163
HD115674,100.121865
HD128571,100.120187
HD143295,100.117031
HD153851,100.118016
HD177565,100.118783
HD7449,100.117462
HD222669,100.123042
HD86065,100.108405
HD217786,100.119467
HD141128,100.116417
HD189242,100.118313
HD147147,100.275232
HD31103,100.117386
HD130992,100.129323
HD21693,100.119160
HD209742,100.120238
HD116284,100.117489
HD16297,100.122644
HD110668,100.113458
HD222422,100.126893
HD171942,100.121303
HD220456,100.121346
HD213852,100.121657
HD161566,100.102787
HD124106,100.115099
HD92788,100.115026
HD189625,100.119716
HD179949,100.105378
HD150177,100.110182
HD1388,100.120387
HD157830,100.121371
HD9782,100.119070
HD8930,100.122069
HIP45301,100.120119
HD200505,100.124158
HD55,100.127837
