Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
Sun,0.07843355669392497,0.003072433100290185,0.38392134916182385,0.032017784357349,0.4694866724168733,0.03141601245518626,0.0016521918145524508,0.0
BD+062932
BD+063077
BD+083095
BD-002387,0.05967069513647331,0.005298761430483769,0.28037632057333267,0.041095102394060445,0.5679703382920697,0.041416917821526227,0.004171864352054081,0.0
BD-010184,0.08002608666539927,0.0036500527483594777,0.36973617608835035,0.05307388543741878,0.45335948922397246,0.036074810084751406,0.004079499751748238,0.0
BD-012505,0.07835453467718405,0.004235317939767487,0.3543907942230646,0.04192498903031381,0.4753781938479866,0.04109742929218901,0.004618740989494483,0.0
BD-033746,0.09500323983113179,0.0012014278156220494,0.44094145114006245,0.048448182243554995,0.3393792835024669,0.06750541533016294,0.007521000136998898,0.0
BD-034797,0.08125892696205467,0.005611240953734897,0.3767000163247191,0.0493646155903508,0.4500492772070753,0.03278052761505729,0.004235395347007876,0.0
BD-044138,0.08201693775691016,0.005321296389553393,0.3732377661103057,0.05055313915519221,0.44108543889054297,0.044017780605380384,0.0037676410921150647,0.0
BD-050484
BD-050578
BD-053176,0.08212469449074143,0.005291498708424214,0.3768876346105922,0.04933135815861496,0.4474268813206783,0.034546473841337265,0.004391458869611554,0.0
BD-053596,0.08369034467999271,0.0034855892678027907,0.37064233539705976,0.05537342686684312,0.425315479873938,0.05686646944655801,0.004626354467805631,0.0
BD-054065,0.0802235954467372,0.00242881010348789,0.4005945048198924,0.02588745035464598,0.45778124081348126,0.03006172757924905,0.003022670882506185,0.0
BD-060904,0.08076576705493821,0.0026977163660763474,0.40284248205951406,0.029593424505942788,0.44839425631992513,0.032271331930300594,0.00343502176330273,0.0
BD-063481,0.0769558820716892,0.0037263970240529205,0.3690063661362811,0.03150051789388471,0.48443741449991007,0.031251470039166174,0.00312195233501595,0.0
BD-064196,0.07345776841841421,0.002687136289074087,0.3422976505849364,0.028113377041786073,0.5139059296639984,0.03621532437623637,0.0033228136255544598,0.0
BD-064756,0.07969449077750843,0.003243883411811434,0.36890958270567076,0.02983120202015581,0.467585075450327,0.04638929515382158,0.004346470480705016,0.0
BD-082534
BD-082823,0.07215545393889035,0.003985158590819706,0.3289116792636,0.03564361911599309,0.5147692611880387,0.0411464286611774,0.0033883992414807267,0.0
BD-090872,0.07751709729553723,0.003096712989382297,0.3564212034487201,0.025699949989418408,0.4795673415789254,0.053464694478832675,0.004233000219183877,0.0
BD-091261,0.09034805037900767,0.0011599022850856781,0.418236587858189,0.05096897765408942,0.3784336062607305,0.05544963493331441,0.005403240629583326,0.0
BD-092670,0.08094867456077974,0.003273536411788603,0.37303828962618024,0.031118267524831444,0.4684057228331388,0.03902667921005165,0.004188829833229712,0.0
BD-094191,0.0794671902404569,0.003447624611104185,0.36084916005867795,0.03605984424622881,0.4678017937727807,0.04854350253124539,0.003830884539506055,0.0
BD-112763,0.08283439831688227,0.001977832703159653,0.40839520148204783,0.0282926754832775,0.44412352195788957,0.0312481776127391,0.003128192444003935,0.0
BD-120327
BD-123458
BD-130116,0.0786596047411467,0.00569098279673921,0.32589464838214316,0.06759286286952737,0.4461159072948357,0.0709861366479443,0.005059857267663531,0.0
BD-130321,0.0758735647802107,0.0050423962906932535,0.3442805390025754,0.04881211497081341,0.4851650610788402,0.036477759907996926,0.004348563968870093,0.0
BD-131161,0.08224564293722213,0.003001631526565427,0.4012670004593606,0.06096064703230639,0.4224023879033421,0.026909702619494897,0.003212987521708473,0.0
BD-140184
BD-145003
BD-160308
BD-160931,0.06359890478826795,0.0028153453516415374,0.3027609848822883,0.026862025895921977,0.5632258669817284,0.036942872172736,0.003793999927415705,0.0
BD-170063
BD-173242,0.08373232621461409,0.00382893361830085,0.37782029815633067,0.04025655253075344,0.43712002994386684,0.05269698352235793,0.004544876013776357,0.0
BD-195953,0.0725422102915283,0.003983503901555121,0.3326178195322722,0.04325009566320225,0.5091102629242981,0.03480691687159411,0.0036891908155500864,0.0
BD-213153,0.08470245676799015,0.0018152198680240485,0.4063126156764512,0.03014306253909147,0.4350240682441782,0.0386348032963568,0.0033677736079081606,0.0
BD-223528,0.07967731292334176,0.0036566923656945693,0.3732530744519655,0.037135437115911815,0.4667930458736674,0.03599530559332515,0.0034891316760937586,0.0
CD-2310879,0.07673427836815921,0.002962013543452603,0.35251106221036893,0.04562190535310741,0.48276525122403097,0.03544284663189151,0.003962642668989225,0.0
CD-436810
CD-4512460,0.07505270446875534,0.0017158061919979976,0.3639947953169697,0.02700600061451672,0.489681660229775,0.03772962943148134,0.004819403746503925,0.0
CD-452997
CD-571633,0.071004831993311,0.0011144323128074631,0.3358952945375927,0.2074770624061173,0.34693763711663883,0.03414592277557687,0.0034248188579558683,0.0
HD10002,0.07948136235558051,0.003472783438255608,0.3864447698811579,0.03392778676565898,0.46705709491054254,0.026059392366602766,0.0035568102822016046,0.0
HD100289,0.07900504673759606,0.0036034472673518777,0.38936150038056544,0.03138044149755906,0.46447813843090185,0.02886122158829721,0.003310204097728538,0.0
HD100508,0.07361364826784215,0.004941184982892246,0.3497321688151946,0.03313086971124303,0.5094814221052946,0.024964174952796736,0.004136531164736609,0.0
HD100777
HD101339,0.07933943676266086,0.003228597631118879,0.37620386886653256,0.03199440970286128,0.4732293729816511,0.03244497156006467,0.003559342495110643,0.0
HD101367,0.07733072624264793,0.004947851493359718,0.3691880894133482,0.03579628027104645,0.4821823404665314,0.026633824399325604,0.003920887713740761,0.0
HD101581,0.08227761372695491,0.003504509274611388,0.386758959454746,0.038103100038556596,0.43675711594127753,0.04835273781352714,0.0042459637503264504,0.0
HD101612,0.07753233678137961,0.003444534480602255,0.362740661696323,0.029451281753123223,0.4863605853892746,0.036656292406254086,0.0038143074930431825,0.0
HD101644,0.0793657570516728,0.0033147250087718193,0.3925617990007016,0.028920678084540845,0.4593788009721671,0.032857929425453264,0.003600310456692601,0.0
HD101650
HD10166
HD10180,0.07936713623961757,0.0037931693365495754,0.382673640065288,0.03511110692222005,0.4655537918966875,0.030041885297173512,0.0034592702424638545,0.0
HD101930,0.08249729545898571,0.0034871699314688548,0.41490830859064953,0.0294945596684961,0.4387263578481905,0.02718681978907583,0.003699488713133562,0.0
HD102117,0.07857651657654854,0.0035600696350980435,0.3799802554544244,0.03450427148835534,0.47221082088242783,0.027651778493634163,0.0035162874695116595,0.0
HD102136,0.07678514349218071,0.0031111226669111288,0.3654491837686325,0.026583208990967576,0.49248384058552397,0.03229797576789454,0.0032895247278896854,0.0
HD102300
HD102365
HD102438
HD102843,0.08050431935371906,0.0026736606416097987,0.39280330744835906,0.03359535466285667,0.46001126683778737,0.026952843625739673,0.003459247429928363,0.0
HD103197,0.07836734461674767,0.003469917247125601,0.3878426326770032,0.027448712524448,0.4734909655883249,0.025801026503177855,0.0035794008431728947,0.0
HD103720,0.07398343694439134,0.0030047996267426468,0.34813626279844545,0.02908115114456222,0.5099160012125127,0.03252014922818667,0.003358199045158879,0.0
HD103891
HD103949,0.0797747991138711,0.0035813452913766534,0.3790397043091943,0.034597134288560004,0.4693843897549326,0.029835720981123397,0.003786906260942004,0.0
HD104006
HD104067,0.07929551803951079,0.0031923493975350866,0.3901681852911408,0.028535965736253697,0.4616822091705357,0.03395030016052383,0.0031754722045001676,0.0
HD104263
HD104760A,0.08050695544423164,0.0037805386100000214,0.3782998225666412,0.038230029816866615,0.4632546426014075,0.03240802446972945,0.0035199864911237256,0.0
HD104800
HD104982,0.08216564844030878,0.0030581759246937445,0.4028747407155215,0.03382878093203238,0.44351111682814337,0.031231240621026307,0.003330296538273837,0.0
HD105004
HD105671,0.07941410726666191,0.0030413387773032836,0.36442848133605193,0.04215576845342171,0.4698052837271438,0.037707469331289774,0.003447551108127708,0.0
HD105779,0.07939616691729327,0.003226279550185705,0.38071473965534997,0.03351220746424685,0.4671175031767665,0.03253211645410831,0.0035009867820494527,0.0
HD105837
HD105938,0.07730097556156001,0.002752387888052396,0.3602624794954034,0.040665897789475804,0.48198082955354676,0.032996908627681606,0.0040405210842800595,0.0
HD106116,0.08008844352044331,0.003616243955333587,0.38535111494509805,0.033726673654771055,0.4646513748877412,0.029021881153681893,0.003544267882930839,0.0
HD106275,0.07695650338421992,0.0032688707979820863,0.3654793236845441,0.03179307668820806,0.48931618141320504,0.029197022982341555,0.00398902104949922,0.0
HD106290,0.07226170848086894,0.004051167238339781,0.3320381448684241,0.04151916716497716,0.5129733079247231,0.03341368080260154,0.0037428235200654093,0.0
HD10647,0.07653599566434752,0.002977600287569773,0.3516275043635708,0.03439878452765782,0.4932947660346665,0.03707839902471704,0.004086950097470512,0.0
HD106589,0.08028024025003788,0.0028343707672860443,0.3902302011315839,0.03809881011452961,0.453322932645101,0.03191054289240181,0.0033229021990598775,0.0
HD10700
HD107094
HD107148,0.07997486161474802,0.004805275248015427,0.38476397145581814,0.03605893753191744,0.4610708375394481,0.02965750447077237,0.0036686121392806776,0.0
HD108063
HD108147,0.07429201880717438,0.003103073775071092,0.3416255963359192,0.03558545020454636,0.5058537596401329,0.03569467902105223,0.0038454222161037757,0.0
HD108309,0.07945916565718296,0.0035402248297105856,0.38450323137138775,0.03454438472425839,0.4654387401649943,0.029118643311860586,0.0033956099406054264,0.0
HD108341,0.07461460951676392,0.002950782569492542,0.3576657231730362,0.02958968673398862,0.50551943363515,0.026304331056762983,0.003355433314805809,0.0
HD108564
HD108768,0.07911929417398858,0.003740624468487982,0.37057882003044773,0.03240769002983642,0.4781570556614274,0.03233622926109205,0.0036602863747199894,0.0
HD108935,0.08506175827906091,0.003022946276955005,0.41650438689075553,0.038997077713521545,0.41629149171357044,0.03639864718700845,0.00372369193912813,0.0
HD10895,0.08115917712334399,0.002796101321959373,0.3934734082173011,0.02290859834610149,0.46035361993537405,0.03574348490632225,0.0035656101495977004,0.0
HD109098,0.0790611324075492,0.0036107141733096757,0.38121572541029863,0.03505656915368507,0.46848932062669585,0.0290015635080691,0.0035649747203924708,0.0
HD109200
HD109271,0.08206982146766209,0.002777222107609345,0.38838501491937133,0.035788549622882776,0.454614182314457,0.03275035549110548,0.003614854076911947,0.0
HD109310
HD109368,0.08803139885829471,0.0022686273716838487,0.41586742974054625,0.03209368969965983,0.41430566336730534,0.043963774832941414,0.00346941612956859,0.0
HD109409,0.07819966066703667,0.004798999526629285,0.3705266643959708,0.03687614904288364,0.47804771148159636,0.027887721198585614,0.003663093687297569,0.0
HD109423,0.07394569045913998,0.002745181957016699,0.35127009408655957,0.027105261515671126,0.5093478542459012,0.03223407426471416,0.003351843470997227,0.0
HD109684
HD109723,0.08341263978439459,0.00253104500466704,0.39723567010693167,0.028070372820918153,0.4467294181182934,0.03839465006743261,0.0036262040973624923,0.0
HD109988
HD110291,0.0818013481165257,0.002936467792761749,0.39827583104813563,0.031499589657118146,0.4501581564519093,0.03193318244546637,0.003395424488083147,0.0
HD110557,0.08040879339636652,0.0027159858140840235,0.3954667853104299,0.029267725274243803,0.4573723004405912,0.03140629719470327,0.0033621125695812814,0.0
HD110619
HD110668,0.07565935601578688,0.004011761977257962,0.3563066359453695,0.03730532397297218,0.49271450300136793,0.030476176498847034,0.0035262425883986247,0.0
HD111031,0.0782904315273717,0.004294451915569471,0.37367672290236426,0.03631462648263146,0.4760198746717444,0.027813695726981967,0.003590196773336781,0.0
HD111232
HD111515
