Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
2M19481670+4031304,8.234775005,0.266020429,39.28658821,2.494669237,46.41996097,3.170554234,0.127431915,0
2M19040872+4936522,7.036730762,0.529421498,32.73843748,3.072196958,54.53565758,2.013668932,0.073886789,0
2M18590868+4825236,,,,,,,,
2M19441136+4244348,7.341430007,0.353839625,34.42793241,3.987563836,50.9405756,2.888264507,0.060394013,0
2M19220642+3808347,7.543070846,0.313736781,35.81972201,3.506755751,50.0102951,2.643449588,0.162969922,0
2M19342609+4211516,,,,,,,,
2M19283191+4132511,,,,,,,,
2M19313914+4103393,,,,,,,,
2M19312961+4257580,7.298174516,0.441698621,34.52008992,4.495137961,50.56642199,2.567231542,0.111245452,0
2M19491018+4958538,8.610620915,0.27320223,39.99102306,3.71083831,43.77635734,3.451789443,0.186168698,0
2M19342205+4105425,8.670471679,0.552264498,38.22112809,5.635962671,41.61444503,5.053050313,0.252677718,0
2M19342073+4255440,6.569468523,0.519972956,30.29068758,5.304833269,54.18707867,3.006199189,0.121759814,0
2M19253263+4159249,7.849188218,0.348469246,38.07192455,3.597451422,47.34660437,2.674752196,0.111609992,0
2M19052120+4844387,7.678123574,0.373290711,37.09677525,3.342395714,48.90775918,2.482852274,0.1188033,0
2M18561431+4431052,,,,,,,,
2M19284485+4143373,7.682960147,0.365953954,36.72402035,4.856296854,47.45619629,2.773867045,0.140705368,0
2M19353364+4231408,,,,,,,,
2M19284107+4054587,7.030268405,0.584379471,33.76050438,9.678385873,45.92031226,2.947176516,0.078973097,0
2M19284793+4202459,7.782004657,0.371114178,36.7063228,5.205230053,46.82402336,2.909004165,0.202300785,0
2M19405434+5033323,8.592904154,0.695022058,40.9273536,3.362686424,41.57722214,4.366305161,0.478506465,0
2M19505021+4804508,7.944446705,0.473407583,37.32475671,3.937862,46.85633994,3.223615959,0.239571102,0
2M19174175+4643342,8.57581535,0.275746586,41.34471655,2.904043555,43.53337371,3.163188334,0.20311592,0
2M19343286+4249298,8.413918328,0.333052913,39.11797018,3.548884852,44.68073593,3.700449084,0.204988717,0
2M19364610+3937084,7.836673572,0.400400422,37.24111727,4.222984707,47.10672458,3.081534422,0.11056502,0
2M19240775+4902249,7.76604411,0.41951449,37.29155909,3.660262629,47.77607271,3.002255592,0.084291384,0
2M19063321+3929164,7.748600158,0.502777059,36.68463723,3.520052288,48.53232922,2.831865028,0.179739022,0
2M19144528+4109042,7.124233722,0.328092972,33.00034672,4.027743539,52.38435599,2.956787574,0.17843948,0
2M19262685+4206574,8.371646008,0.397139163,39.73220146,2.864838859,45.00442303,3.432318756,0.197432724,0
2M19004979+4523036,7.846475855,0.34717787,37.35839502,3.210439106,48.12354547,2.946488373,0.167478305,0
2M19340476+4116386,6.595779092,0.43050872,29.96098091,7.0072068,52.93775676,2.947183312,0.120584413,0
2M19492496+4118001,8.15087617,0.391647447,38.96984469,3.352781735,45.81340185,3.105791926,0.215656186,0
2M19325217+4243145,7.565021485,0.427318412,35.43429376,8.489900262,45.22272077,2.699390424,0.161354888,0
2M19322220+4121198,6.841213144,0.384984754,31.04263696,4.708501497,53.59607821,3.356685307,0.069900125,0
2M19562938+4152003,7.93318037,0.463295825,37.65951838,3.122031845,47.09789182,3.625129982,0.098951779,0
2M19202447+4815040,9.403849755,0.553048246,44.05567854,3.719305065,37.55631742,4.189512747,0.522288232,0
2M19394766+4626191,8.254859463,0.324804,40.59538315,3.370659258,44.41946782,2.858261407,0.176564907,0
Sun,8.022871374,0.331411863,37.92564057,3.318830187,47.04549377,3.179578462,0.176173779,0
2M19353074+4139423,,,,,,,,
2M19542140+4045024,7.80967903,0.000959617,36.48559675,4.370086777,48.26102708,2.931113094,0.141537656,0
2M19331737+4252028,7.729385678,0.915977613,38.07635213,3.00071771,47.14705182,2.949504792,0.181010255,0
2M19394922+4408593,8.803869774,0.234882401,43.79679735,3.933457487,40.19302193,2.85359569,0.184375368,0
2M19415676+5100486,7.837493268,0.684689962,35.74283008,4.483609114,46.91280951,4.126483928,0.212084135,0
2M19004386+4349519,,,,,,,,
2M19010446+4833360,8.045154718,0.315261069,38.24524251,2.436572992,47.4464065,3.296557572,0.214804643,0
2M19004559+4601406,7.430785847,0.420729931,35.00591104,3.542639753,50.57003929,2.93530819,0.09458595,0
2M19370743+4217274,7.740943031,0.594021969,36.77747273,2.277663116,48.59570717,3.836155506,0.178036475,0
2M19285614+4134307,7.228366233,0.645677262,34.18314109,4.600218653,50.49090719,2.74424568,0.107443888,0
2M19274845+4304289,7.903623511,0.700017613,39.27405489,2.310941488,46.27846538,3.438933394,0.093963717,0
2M19254047+3907387,8.491784157,0.271333136,40.18575286,3.272379444,44.04859041,3.514657668,0.215502322,0
2M19344207+4117432,,,,,,,,
2M18561467+4530246,8.279141112,0.327179642,39.1804255,2.792616856,45.89118312,3.366325058,0.163128707,0
2M19295476+4208322,7.793586406,0.690199931,37.92975056,3.228766687,47.35073154,2.911097881,0.095866999,0
2M19255247+4020378,8.578449406,0.207438353,42.69125591,3.307947727,42.13659108,2.906666148,0.171651371,0
2M19155629+4003522,8.026962913,0.434718629,40.14807496,3.283507656,46.05743338,1.897412459,0.151889997,0
2M19263232+4150019,,,,,,,,
2M19294569+4312339,8.366108023,0.299613418,38.71871939,4.145058285,44.55758466,3.683426908,0.229489321,0
2M19140739+4056322,7.90777992,0.457283598,37.85787734,2.930130794,47.71849149,3.028659997,0.099776863,0
2M19571668+4123047,8.539044389,0.303958305,40.12686113,3.39120642,43.89448876,3.588667408,0.155773592,0
2M19233947+4217116,7.091549336,0.248075575,30.96271838,2.67587172,56.09680014,2.763649764,0.161335087,0
2M19510878+4753100,7.763086632,0.474528146,37.0076538,3.091241674,48.70175023,2.790806169,0.170933348,0
2M19162065+4133465,7.979078972,0.275945299,37.64756783,3.883864602,47.32206456,2.782636618,0.108842127,0
2M19253372+4210501,7.224976319,0.303499188,34.07020991,4.908112584,50.86359067,2.521925952,0.107685383,0
2M19310830+4312575,7.53623027,0.496338269,35.83660314,2.704979912,50.10862015,3.226554424,0.090673835,0
2M19384178+4204321,7.11063507,0.351710778,33.76838206,2.810277199,53.3343933,2.507372016,0.117229577,0
2M19290877+4204208,,,,,,,,
2M19254039+3840204,8.107642936,0.315478022,39.94277965,3.106188385,45.5905877,2.825481539,0.11184177,0
2M19342430+4222471,8.137264703,0.488614215,37.07484747,5.195819791,45.30969922,3.434548824,0.359205782,0
2M19421779+4248231,8.711092252,0.207038062,41.52319553,3.260301588,43.24769592,2.850157699,0.200518947,0
2M19294013+4125007,7.906575494,0.426970619,37.42214404,3.840156935,46.61850825,3.627959145,0.157685519,0
2M19351783+4246469,,,,,,,,
2M19344300+4651099,8.201450386,0.309312896,40.51361925,3.034374234,45.25658176,2.586599349,0.098062122,0
2M18523616+4508233,7.215591536,0.375828462,33.96528803,2.860121276,52.33008595,3.040099957,0.212984789,0
2M18575579+4423529,7.307794901,0.338423486,34.78333908,3.868779496,51.32902049,2.295081394,0.077561146,0
2M19322256+4253471,7.72772469,0.401285374,37.07709551,2.78953049,49.08666334,2.759838871,0.157861728,0
