Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
2M19481670+4031304,10000,1128,1.174505,49.31513165,0.52407365,12.42667774,0,28.2758505,0.092072647,5.610461139,3.755732669,100
2M19040872+4936522,10000,1128,3.439059,52.97089005,1.622164308,14.26187178,0,23.03277979,0.236141634,4.933707432,2.942445008,100
2M18590868+4825236,,,,,,,,,,,,
2M19441136+4244348,10000,1128,3.960568,56.39514734,1.036102935,14.54869396,0,18.92051782,0.299935341,6.299060877,2.500541728,100
2M19220642+3808347,10000,1128,3.489629,54.2125269,2.166823437,14.1265843,0,20.15699122,0.337623901,6.469767107,2.529683133,100
2M19342609+4211516,,,,,,,,,,,,
2M19283191+4132511,,,,,,,,,,,,
2M19313914+4103393,,,,,,,,,,,,
2M19312961+4257580,10000,1128,3.838372,55.61757585,2.019320758,14.59179978,0,19.01533379,0.387998858,5.776757873,2.591213093,100
2M19491018+4958538,10000,1128,3.02106,52.65183236,1.596704751,13.9060651,0,22.45755859,0.229756054,6.565417422,2.592665725,100
2M19342205+4105425,10000,1128,1.618209,45.90921007,0.224400935,13.1228134,0,27.70503045,0.771667184,3.334570528,8.932307426,100
2M19342073+4255440,10000,1128,5.517389,60.36667772,1.550245573,15.6815454,0,13.79387086,0.609694637,5.500855187,2.497110631,100
2M19253263+4159249,10000,1128,2.468557,52.43214866,1.44727756,13.59423683,0,23.15571616,0.19815856,6.426459486,2.746002747,100
2M19052120+4844387,10000,1128,2.319938,52.49938296,1.433991054,13.55543815,0,23.18660008,0.196630324,6.347156748,2.780800682,100
2M18561431+4431052,,,,,,,,,,,,
2M19284485+4143373,10000,1128,4.404196,56.18794302,2.049996592,14.66518652,0,17.93698095,0.423000058,6.285317956,2.45157491,100
2M19353364+4231408,,,,,,,,,,,,
2M19284107+4054587,10000,1128,9.732243,66.56406767,0.575151396,17.81628834,0,6.496701781,1.119553929,5.184069689,2.244167186,100
2M19284793+4202459,10000,1128,4.920001,55.99782329,2.585273337,14.71170267,0,17.48152597,0.486070525,6.323806252,2.41379795,100
2M19405434+5033323,10000,1128,4.316605,43.22181882,0.819952624,17.02404171,0,21.50422262,1.956856218,3.022864857,12.45024316,100
2M19505021+4804508,10000,1128,1.796292,53.22902233,1.588638049,13.51377311,0,22.41660121,0.222357947,6.211361361,2.818245986,100
2M19174175+4643342,10000,1128,1.299111,50.20271986,0.777215114,12.88037074,0,26.73189613,0.105681325,6.030551787,3.271565046,100
2M19343286+4249298,10000,1128,2.583594,52.78342932,1.568200065,13.69451007,0,22.58854981,0.21986553,6.449656633,2.695788572,100
2M19364610+3937084,10000,1128,3.874383,54.51822856,1.904564746,14.31478608,0,20.19408952,0.327218671,6.18683054,2.554281881,100
2M19240775+4902249,10000,1470,51.829821,58.33858838,0.177369333,7.702076578,0,10.52236901,16.38380113,5.993035466,0.882760093,100
2M19063321+3929164,10000,1128,1.379491,51.79582283,1.103002749,12.90424087,0,24.90823577,0.13966108,5.979837511,3.169199186,100
2M19144528+4109042,10000,1128,5.126628,56.73534126,2.386867399,14.85190497,0,16.77221591,0.500534807,6.365173846,2.387961813,100
2M19262685+4206574,10000,1128,0.556617,48.11778398,0.289736793,11.20168892,0,29.82696767,0.133025292,4.704536828,5.726260526,100
2M19004979+4523036,10000,1128,2.083298,52.42902929,1.405841301,13.44402991,0,23.36168749,0.188588542,6.347428777,2.823394688,100
2M19340476+4116386,10000,1128,8.236025,63.72997102,0.971689971,16.66366892,0,9.600631451,0.82046708,5.975593947,2.237977613,100
2M19492496+4118001,10000,1128,1.398037,51.71434063,1.110211844,12.90946103,0,24.91387069,0.139130051,6.069561117,3.143424637,100
2M19325217+4243145,10000,1128,9.630941,64.90743906,1.189080623,17.37883194,0,7.52603311,1.03990625,5.809518249,2.14919077,100
2M19322220+4121198,10000,1128,5.514109,60.20054416,0.865001564,15.39717681,0,14.41319474,0.484315933,6.272371049,2.367395737,100
2M19562938+4152003,10000,1128,1.020588,49.34903533,0.473696279,11.99845963,0,28.67410014,0.097374871,5.245174125,4.162159622,100
