star,initial_mass
2M19443187+4858386,0
2M19254039+3840204,100.120436
2M19342205+4105425,100.133412
2M19284485+4143373,100.112715
2M19352029+4237298,100.130211
2M19144528+4109042,100.106357
2M19364610+3937084,100.116604
2M19294013+4125007,100.119809
2M19052120+4844387,100.113575
2M18561467+4530246,100.124873
2M19340476+4116386,100.096424
2M19325217+4243145,100.107073
2M19370743+4217274,100.120824
2M19441136+4244348,100.109313
2M19274845+4304289,100.122398
2M19322220+4121198,100.103064
2M19071403+4918590,100.121702
2M19162065+4133465,100.117407
2M18473976+4246318,100.124197
2M19384178+4204321,100.106357
2M19383520+4153027,100.096822
2M19004559+4601406,100.111492
2M19322256+4253471,100.115831
2M19134816+4014431,100.127218
2M19165219+4753040,100.121393
2M19330298+4121544,100.109721
2M19331737+4252028,100.118734
2M19202447+4815040,104.382134
2M19284107+4054587,100.100181
2M19095484+3813438,100.107021
2M19233947+4217116,100.106441
2M19140739+4056322,100.119227
2M19214099+3751064,100.125718
2M19174175+4643342,100.127872
2M19344300+4651099,100.121028
2M19571668+4123047,100.128272
2M19405434+5033323,100.133761
2M19283906+4101236,100.114912
2M18455585+4712289,100.124608
2M19040872+4936522,100.104499
2M18585736+4935542,100.118320
2M19310830+4312575,100.115118
2M19104752+4220194,100.130359
2M19275056+4225588,100.115485
2M19262685+4206574,100.126634
2M19394766+4626191,100.122259
2M19510878+4753100,100.116418
2M19315309+4102087,100.118440
2M19180152+4522155,100.122286
2M19155629+4003522,100.116947
2M19322962+4056051,100.115624
2M19255247+4020378,100.126251
2M19010446+4833360,100.121811
2M19331205+4131240,100.104692
2M19492496+4118001,100.121957
2M19263381+4114277,100.123411
2M19294569+4312339,100.125240
2M19285614+4134307,100.108046
2M19102533+4931237,100.126108
2M19351595+4212449,100.100090
2M19300081+4304593,100.129460
2M19310175+4325368,100.122432
2M19480452+5024323,100.115495
2M18444674+4729496,100.118919
2M19282524+4222491,100.121169
2M19343286+4249298,100.126876
2M19342073+4255440,100.098344
2M19415676+5100486,100.120932
2M19092707+3838585,100.124227
2M19283288+4225459,100.130276
2M19432625+4756222,100.125494
2M19481670+4031304,100.123698
2M19220642+3808347,100.111719
2M18495813+4358487,100.116368
2M19505021+4804508,100.119203
2M19290865+4054489,100.129408
2M18575579+4423529,100.107255
2M19004979+4523036,100.117258
2M19312961+4257580,100.107669
2M19045932+5014326,100.124825
2M19295476+4208322,100.118119
2M19253263+4159249,100.116049
2M19063321+3929164,100.115982
2M18523616+4508233,100.109353
Sun,100.120165
2M19253372+4210501,100.105462
2M19011470+4750549,100.107968
2M19244068+4238269,100.102970
2M18472048+4409213,100.115464
2M19342430+4222471,100.121028
2M19324327+4137039,100.122073
2M19293325+4213597,100.123332
2M19562938+4152003,100.121212
2M19240775+4902249,100.116161
